textDisplay|classification_textblob
['ame', 'análisis', 'persona', 'diagnósticado', 'tag', 'avez', 'nunca', 'llegar', 'quiero', 'importo', 'hacer', 'siempre', 'ir', 'fallar', 'pensamiento', 'intrusivo', 'poder', 'llevar él', 'vida', 'ayudo', 'aceptar', 'solo', 'pensamiento', 'aunque', 'querer', 'ir', 'ir', 'sentir', 'falto', 'celeste', 'aparte', 'ser', 'referencia', 'trastorno', 'referencia', 'transición', 'género', 'disforiar', 'mucho', 'vez', 'hacer', 'palabra', 'persona', 'considerar', 'sana', 'solo', 'perjudicar', 'final', 'solo', 'quedar', 'aceptarte', 'cómo', 'mundo', 'decir', 'ser', 'aparte', 'creador', 'madeline', 'chica', 'trans', 'todo', 'dudo', 'lucha', 'hacer', 'referencia', 'montaña', 'solo', 'hacer', 'referencia', 'trastorno', 'hacer', 'referencia', 'luchar', 'seguir', 'adelante', 'lapida', 'solo', 'hablar', 'persona', 'poder', 'luchar', 'trastorno', 'si', 'inseguridad', 'discriminaciion', 'comentario', 'degradante', 'constante', 'hacer', 'poder', 'seguir', 'luchar', 'querer', 'si', 'quotla', 'montaña', 'siempre', 'poder', 'mandar', 'abajoquot']|1
['httpswwwyoutubecomwatchv8yd2qnz9', 'mm']|1
['guardar', 'mandamiento', 'dio', 'solucionbrparar', 'evitar', 'mal', 'solo', 'deber', 'poner', 'sal', 'exorcizado', 'cada', 'esquina', 'cuarto', 'botellita', 'frasco', 'tapa', 'semi', 'abierto', 'duro', '2', 'día', 'aprox', 'llevar', 'él', 'siempre', 'medalla', 'san', 'benito', 'exorcizado', 'corazón', 'importantísimo', 'deber', 'ser', 'allí', 'puesto', 'confesar él', 'comulgar', 'seguido', 'rezar', 'rosario', 'todo', 'bendición', 'comprobado', 'quitar', 'siguiente']|1
['increíble', 'preciso', 'real', 'tratar', 'videojuego', 'temático', 'sentir', 'completamente', 'representado', 'cada', 'sentimiento', 'madeline', 'especialmente', 'momento', 'caer', 'comienzo', 'montaña', 'personalmente', 'propusar', 'escalar', 'montaña', 'representar', 'gran', 'reto', 'relación', 'social', 'logrado', 'superar', 'embargo', 'desafortunado', 'acontecimiento', 'chica', 'echar', 'perder', 'progreso', 'personal', 'escalar', 'montaña', 'ver', 'atacado', 'sufrimiento', 'padecimiento', 'mental', 'conllevanbrbraún', 'así', 'hermoso', 'juego', 'dar', 'lección', 'vida', 'enseño', 'mejor', 'poder', 'hacer', 'superar', 'depresión', 'ansiedad', 'conocertar', 'fondo', 'virtud', 'especialmente', 'defecto', 'aprender', 'vivir', 'poder', 'superarlo', 'fantástico', 'video', 'ánimo', 'pasar', 'ésto', 'si', 'poder', 'escalar', 'montaña', 'aunque', 'parecer', 'imposible']|1
['juego', 'tanto', 'adictivo', 'anoche', '7', 'hora', 'creer', '5', 'nivel', 'centro', 'montaña']|1
['lol', 'si', 'mas', 'ansiedad', 'intentar', 'realizar', 'salto', 'prácticamente', 'imposible']|0
['ayuda', 'superar', 'ansiedadbryo', 'ansiedad', 'lograr', 'hacer', 'bien', 'salto', 'ver', 'muerte', 'ir', 'subir']|1
['eh', 'ganado', '2', 'vez', 'poder', 'decir', 'historia', 'favoritar', 'juegos', 'eh', 'jugar', 'vida', 'básicamente', 'viví', 'siempre', 'sentir', 'identificado', 'madeline', 'ver', 'ver', 'mismo', 'seguro', 'jugar', 'forma']|1
['ver', 'juego', 'pixelado', 'año', '2023', 'invitar', 'ir', 'psicologo', 'superar', 'ansiedad', 'jajajajar']|1
['solucionado', 'ansiedad', 'xd']|1
['alguien', 'poder', 'decir', 'si', 'video', 'spoilers', 'juego']|1
['mirar', 'q', 'tal', 'gamepass']|1
['gracias']|1
['verdad', 'adorar', 'análisis', 'relación', 'psicología', 'diverso', 'juego', 'mecánico', 'género', 'verdad', 'hacer', 'manera', 'magistral', 'inspiradorar', 'mucho', 'felicidad', 'ojalá', 'lancser', 'contenido']|1
['deber', 'jugar él', 'tomar', 'temática', 'juego', 'mucho', 'vez', 'apuntar', 'llegar', 'sima', 'solo', 'volver', 'caer', 'fondo', 'repetir', 'ciclo', 'mucho', 'vez', 'gran', 'mayoría', 'tiempo', 'siquiera', 'vuelto', 'escalar', 'mitad', 'realidad', 'escalar', 'poco', 'vez', 'superándolo']|1
['adrián', 'querer', 'verdad', 'vídeo', 'precioso', 'mucho', 'gracia']|1
['vez', 'bajarmar', 'estr', 'aumento', 'xd']|1
['consola', 'poder', 'jugar']|1
