channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,videojuego
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,"No soy de España, pero la voz de Kratos en español me parece malisima nada parecida a la original.","No soy de España, pero la voz de Kratos en español me parece malisima nada parecida a la original.",@JosaRoMa,https://yt3.ggpht.com/ytc/AIf8zZTfuFgAogpFqg8-YCxxXVJc_tZKi31V40Z-Cdbn=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCVbArOQlCNP35yhoZ01UXgw,{'value': 'UCVbArOQlCNP35yhoZ01UXgw'},True,none,1,2022-11-04T09:48:12Z,2022-11-04T09:48:12Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,"Que emoción, god of war no falla ❤","Que emoción, god of war no falla ❤",@MyStoryAnimated686,https://yt3.ggpht.com/6JdbKMNFdBtmah1qRn0N5J6ZDTqTa1cZ3F0LBTTlo2KlKC7gXeA8ateiOhkio00k0VA9Oj8mKvg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCMPq4O2Qn93f7Hf9XVQ11Kg,{'value': 'UCMPq4O2Qn93f7Hf9XVQ11Kg'},True,none,0,2022-11-04T09:41:13Z,2022-11-04T09:41:13Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,El hacha ya se podía cargar en el anterior.,El hacha ya se podía cargar en el anterior.,@darionavas2710,https://yt3.ggpht.com/ytc/AIf8zZReC-_Si3nhH72BS_SgQ2SS_ml7krcf8ae0ZQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC-qIb5F7dpotY9ef-FuCNJQ,{'value': 'UC-qIb5F7dpotY9ef-FuCNJQ'},True,none,1,2022-11-04T08:30:11Z,2022-11-04T08:30:11Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,"el juego esta bueno, pero a mi gusto el combate es terrible, muy rigiido y la camara es horrible, pase el 1 pero este no lo compro no me parece que hay cambio a nivel de combate que es mas de lo mismo en rigides","el juego esta bueno, pero a mi gusto el combate es terrible, muy rigiido y la camara es horrible, pase el 1 pero este no lo compro no me parece que hay cambio a nivel de combate que es mas de lo mismo en rigides",@LuisUribe1990,https://yt3.ggpht.com/ytc/AIf8zZS6CW-F8w_KdJRjWdKU8H_-Fdm2B2XDzxMNP2vmiQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCDeCOW9swZPLunWECblAC-Q,{'value': 'UCDeCOW9swZPLunWECblAC-Q'},True,none,1,2022-11-04T06:59:21Z,2022-11-04T06:59:21Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,Involuntaria o involuntariamente xD,Involuntaria o involuntariamente xD,@oscardavidislasgonzalez4263,https://yt3.ggpht.com/ytc/AIf8zZRa0i53nDKh56_zOWYcgFwZbmojaREZY_OT5w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCJsZah6CorvNIMs_cc79g0Q,{'value': 'UCJsZah6CorvNIMs_cc79g0Q'},True,none,0,2022-11-04T06:25:16Z,2022-11-04T06:25:16Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,este god of war y Sonic Frontier son los juegos más esperandos sin duda,este god of war y Sonic Frontier son los juegos más esperandos sin duda,@petronilagonzalez2559,https://yt3.ggpht.com/ytc/AIf8zZRjY5qHPvpXpVJlVEXNv7oQREqli4QlF-iqPGofTCdDmE4ReNeTrSr9jXx1Unq0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCc8I-6oJOLmBaT3VH1zwNVQ,{'value': 'UCc8I-6oJOLmBaT3VH1zwNVQ'},True,none,1,2022-11-04T06:19:39Z,2022-11-04T06:19:39Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,"Habemus GOTY, señores 🧐🍷<br>No hay duda, playstation desde que llego a la industria ha marcado estándares de calidad superandose generación tras generación 🤌🤌🤌","Habemus GOTY, señores 🧐🍷
No hay duda, playstation desde que llego a la industria ha marcado estándares de calidad superandose generación tras generación 🤌🤌🤌",@chrisap2956,https://yt3.ggpht.com/ytc/AIf8zZTbHu1DekZeOmB_ER6YDO0rYDdgIxvcYbA9kvFe=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCFF1XropYp4eNSMwFLzgt2A,{'value': 'UCFF1XropYp4eNSMwFLzgt2A'},True,none,2,2022-11-04T06:05:52Z,2022-11-04T06:06:20Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,"Ese abrazo de kratos a atreus y su sonrisa al recibir el abrazo, es lo mejor mas bonito y humano que he visto de kratos","Ese abrazo de kratos a atreus y su sonrisa al recibir el abrazo, es lo mejor mas bonito y humano que he visto de kratos",@fatimal7104,https://yt3.ggpht.com/BCSPdcxIxNiDCbiyriby-DjfxRIeWPeUXY_lxkkRNVMruKUla05ryFf3_XIaqrdT-WkizUVi=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3HYi74JRtghROo2WQs3dnQ,{'value': 'UC3HYi74JRtghROo2WQs3dnQ'},True,none,3,2022-11-04T05:04:37Z,2022-11-04T05:04:37Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,"20/10 y God, juego del año.","20/10 y God, juego del año.",@Aguiar82,https://yt3.ggpht.com/ytc/AIf8zZT6-Bempe1OYXzqEWmMqqkpaM8ADPQFOxGEG0Nl=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCk7uefcpMGXAQ3iLbDIw4fw,{'value': 'UCk7uefcpMGXAQ3iLbDIw4fw'},True,none,2,2022-11-04T04:13:52Z,2022-11-04T04:13:52Z,,Hi-Fi Rush
UC05m1jT_pGm-DJKlpXsBYkA,V-QYwKgVIMY,"Este juego me lo voy a pasar lentamente en el modo más difícil, dejando que la emoción dure harto. Que valga la pena la espera. No me lo voy a pasar en un par de días como esos alocados que no paran y se lo pasan a los afanes.","Este juego me lo voy a pasar lentamente en el modo más difícil, dejando que la emoción dure harto. Que valga la pena la espera. No me lo voy a pasar en un par de días como esos alocados que no paran y se lo pasan a los afanes.",@OscarJavierLeonChamorro,https://yt3.ggpht.com/ytc/AIf8zZSEEkIGRS_rGJ4zgU5gUjGCR9928oVh4tmm77SGzCs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCv1TrBSkR95k8tPv72JxNAw,{'value': 'UCv1TrBSkR95k8tPv72JxNAw'},True,none,39,2022-11-04T03:17:34Z,2022-11-04T03:17:34Z,,Hi-Fi Rush
