channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"omg, 5 años esperando el nuevo juego del señor de los anillos y parece que es la peor basura que vi en mi vida, el principe de persia del 2008 estaba mejor en todo los aspectos","omg, 5 años esperando el nuevo juego del señor de los anillos y parece que es la peor basura que vi en mi vida, el principe de persia del 2008 estaba mejor en todo los aspectos",@sebastianandrade6623,https://yt3.ggpht.com/ytc/AIf8zZS9DByjiOh7UHlIJLKV0kfFOZCwRrY01o0ZxQoAKEU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCwlqnPF2DV6pQ15LekJ_y8A,{'value': 'UCwlqnPF2DV6pQ15LekJ_y8A'},True,none,0,2023-05-25T18:31:57Z,2023-05-25T18:31:57Z,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"gracias, me ahorraste 60 dolares.","gracias, me ahorraste 60 dolares.",@TheMrlordestructor,https://yt3.ggpht.com/ytc/AIf8zZRqvAv9SXHrOYOd8tiDUaKSAmOZNQo7ojVwKDPx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCAArfUy1xdyYEqxcGuC6MXQ,{'value': 'UCAArfUy1xdyYEqxcGuC6MXQ'},True,none,0,2023-05-25T18:28:20Z,2023-05-25T18:28:20Z,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,gente no me jodan tampoco esta tan mal laas fisicas si que son un poco torpe pero como un casual esta muy bien,gente no me jodan tampoco esta tan mal laas fisicas si que son un poco torpe pero como un casual esta muy bien,@Bbzhitto,https://yt3.ggpht.com/NAFML3GsQ7dVI-4RziEyUo0xae8BlMYm-iLO7B7PnLpBkXjNdAoLtus5XjxPLb5nBAizyhiw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCfWgMEDg5OIHyOp_JQ6INgQ,{'value': 'UCfWgMEDg5OIHyOp_JQ6INgQ'},True,none,0,2023-05-25T18:27:55Z,2023-05-25T18:27:55Z,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,Y ese juego de ps2 que es?,Y ese juego de ps2 que es?,@Luis-ky6px,https://yt3.ggpht.com/ytc/AIf8zZR0iO2-MY_5YT_25lP7hedItkoz3VSOzL5GVA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCJU58ba55PyY5IDBqv1aFNw,{'value': 'UCJU58ba55PyY5IDBqv1aFNw'},True,none,0,2023-05-25T18:07:10Z,2023-05-25T18:08:23Z,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"hasta un juego de movil se ve mejor que esto, no hay que ser experto que este juego iba directo al fracaso","hasta un juego de movil se ve mejor que esto, no hay que ser experto que este juego iba directo al fracaso",@Mativelasqzv,https://yt3.ggpht.com/ytc/AIf8zZRj7J1iJCC6-Fo4dxUUdcCyUWUwZNv-yY63srRTfRQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgDqNdaKxaGOExvdtwIf8yg,{'value': 'UCgDqNdaKxaGOExvdtwIf8yg'},True,none,0,2023-05-25T18:02:15Z,2023-05-25T18:02:15Z,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"directamente no se para q hacen estos juegos. Totalmente para nada, no va a vender, no se quien querra comprarse esto","directamente no se para q hacen estos juegos. Totalmente para nada, no va a vender, no se quien querra comprarse esto",@siter2138,https://yt3.ggpht.com/ytc/AIf8zZRMuTpzYuYLpWthoQpCfIQoJ5sx5gXnFvlSod7Zm0aCavXHYl94DPhVydpbZt9n=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCxlctYU5yafZEbX0ZDW5NwA,{'value': 'UCxlctYU5yafZEbX0ZDW5NwA'},True,none,0,2023-05-25T17:57:24Z,2023-05-25T17:57:24Z,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,Se ve divertido. Es muy fácil  pegarle a un estudio pequeño.,Se ve divertido. Es muy fácil  pegarle a un estudio pequeño.,@leonelbruzzese1584,https://yt3.ggpht.com/ytc/AIf8zZQDZFdN-4gJ2iGemnqkBhzjeZnlFwYLN1lVlCE8EA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCZBIcESN4zsPhVDYVJvy_1w,{'value': 'UCZBIcESN4zsPhVDYVJvy_1w'},True,none,3,2023-05-25T17:56:16Z,2023-05-25T17:56:16Z,
UC05m1jT_pGm-DJKlpXsBYkA,,divertido 💤,divertido 💤,@yoyo8006,https://yt3.ggpht.com/ytc/AIf8zZTwb4hyr48Mvos4QpLThPTyEntz32I8Z8a7Gw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@yoyo8006,{'value': 'UCwd8vyMr8VkJBNLAXMOUJgA'},True,none,1,2023-05-26T10:33:18Z,2023-05-26T10:33:18Z,UgyvsjiqVTJXWXtl5rl4AaABAg
UC05m1jT_pGm-DJKlpXsBYkA,,Han sido ellos mismos quieren es se han pegado un tiro en el pie. No necesitan la ayuda de nadie.,Han sido ellos mismos quieren es se han pegado un tiro en el pie. No necesitan la ayuda de nadie.,@El_fantasma_de_los_comics,https://yt3.ggpht.com/DL25RBBq8LrIqHuQ78xSWkRTpmOfoABRHqp6o3Kwaz1oeBxqidxZL2R4bd71gMy_68zXaKPC=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@El_fantasma_de_los_comics,{'value': 'UCiKl9sO1nS9bCNPgBrspFwQ'},True,none,1,2023-05-26T12:18:56Z,2023-05-26T12:18:56Z,UgyvsjiqVTJXWXtl5rl4AaABAg
UC05m1jT_pGm-DJKlpXsBYkA,,Divertido😂😂,Divertido😂😂,@federicomonterorivera9842,https://yt3.ggpht.com/ytc/AIf8zZSXOnPYxy3O7uIJqAtUKMWrwIe8MoR-jFO7nrVnuA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@federicomonterorivera9842,{'value': 'UCGIs5bBZyxnVWRvlYFmRozA'},True,none,0,2023-05-26T15:46:42Z,2023-05-26T15:46:42Z,UgyvsjiqVTJXWXtl5rl4AaABAg
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,El título jajaja... Coincido...,El título jajaja... Coincido...,@massih2280,https://yt3.ggpht.com/ytc/AIf8zZRu1UDM_NKaZIDgi2EhDxrR7dliWDmobdN1Ziqp61k=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCc3_UXDO9TzkG6bWUwq10Gw,{'value': 'UCc3_UXDO9TzkG6bWUwq10Gw'},True,none,0,2023-05-25T17:47:48Z,2023-05-25T17:47:48Z,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"ese gollum que se volvio de turkia para hacer el juego eh, el perron","ese gollum que se volvio de turkia para hacer el juego eh, el perron",@unhappycreep8348,https://yt3.ggpht.com/ytc/AIf8zZTOPAeDDQ7b17vKQMdnSpNCb7LEDzILaOTmgbX7=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCzl4JZQ0XW_HYzW4xkDuojw,{'value': 'UCzl4JZQ0XW_HYzW4xkDuojw'},True,none,1,2023-05-25T17:47:08Z,2023-05-25T17:47:08Z,
